År,Län,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1997,Hallands län,B,M,C,L,KD,,,MP,,
1994,Jämtlands län,V,,,,,S,,,,
1995,Jämtlands län,V,,,,,S,,,,
1996,Jämtlands län,V,,,,,S,,,,
1997,Jämtlands län,V,,,,,S,,,,
1994,Blekinge län,V,,,,,S,,,,
1995,Blekinge län,V,,,,,S,,,,
1996,Blekinge län,V,,,,,S,,,,
1997,Blekinge län,V,,,,,S,,,,
1994,Dalarnas län,BL,,C,,,S,,,,
1995,Dalarnas län,BL,,C,,,S,,,,
1996,Dalarnas län,BL,,C,,,S,,,,
1997,Dalarnas län,BL,,C,,,S,,,,
1994,Gävleborgs län,V,,,,,S,,,,
1995,Gävleborgs län,V,,,,,S,,,,
1996,Gävleborgs län,V,,,,,S,,,,
1997,Gävleborgs län,V,,,,,S,,,,
1994,Jönköpings län,BL,,C,L,,S,,,,
1995,Jönköpings län,BL,,C,L,,S,,,,
1996,Jönköpings län,BL,,C,L,,S,,,,
1997,Jönköpings län,BL,,C,L,,S,,,,
1994,Kalmar län,V,,,,,S,V,MP,,
1995,Kalmar län,V,,,,,S,V,MP,,
1996,Kalmar län,V,,,,,S,V,MP,,
1997,Kalmar län,V,,,,,S,V,MP,,
1994,Uppsala län,V,,,,,S,V,,,
1995,Uppsala län,V,,,,,S,V,,,
1996,Uppsala län,V,,,,,S,V,,,
1997,Uppsala län,V,,,,,S,V,,,
1994,Värmlands län,V,,,,,S,,,,
1995,Värmlands län,V,,,,,S,,,,
1996,Värmlands län,V,,,,,S,,,,
1997,Värmlands län,V,,,,,S,,,,
1994,Östergötlands län,V,,,,,S,V,,,
1995,Östergötlands län,V,,,,,S,V,,,
1996,Östergötlands län,V,,,,,S,V,,,
1997,Östergötlands län,V,,,,,S,V,,,
1994,Kronobergs län,BL,,C,,,S,,,,
1995,Kronobergs län,BL,,C,,,S,,,,
1996,Kronobergs län,BL,,C,,,S,,,,
1997,Kronobergs län,BL,,C,,,S,,,,
1994,Södermanlands län,V,,,,,S,,,,
1995,Södermanlands län,V,,,,,S,,,,
1996,Södermanlands län,V,,,,,S,,,,
1997,Södermanlands län,V,,,,,S,,,,
1994,Västernorrlands län,V,,,,,S,,,,
1995,Västernorrlands län,V,,,,,S,,,,
1996,Västernorrlands län,V,,,,,S,,,,
1997,Västernorrlands län,V,,,,,S,,,,
1994,Västmanlands län,BL,,C,,,S,,,,
1995,Västmanlands län,BL,,C,,,S,,,,
1996,Västmanlands län,BL,,C,,,S,,,,
1997,Västmanlands län,BL,,C,,,S,,,,
1994,Skåne län,V,,,,,S,V,,,
1995,Skåne län,V,,,,,S,V,,,
1996,Skåne län,V,,,,,S,V,,,
1997,Skåne län,V,,,,,S,V,,,
1994,Norrbottens län,V,,,,,S,,,,
1995,Norrbottens län,V,,,,,S,,,,
1996,Norrbottens län,V,,,,,S,,,,
1997,Norrbottens län,V,,,,,S,,,,
1994,Stockholms län,V,,,,,S,V,MP,,
1995,Stockholms län,V,,,,,S,V,MP,,
1996,Stockholms län,V,,,,,S,V,MP,,
1997,Stockholms län,V,,,,,S,V,MP,,
1994,Västerbottens län,V,,,,,S,,,,
1995,Västerbottens län,V,,,,,S,,,,
1996,Västerbottens län,V,,,,,S,,,,
1997,Västerbottens län,V,,,,,S,,,,
1994,Västra Götalands län,V,,,,,,,,,
1995,Västra Götalands län,V,,,,,,,,,
1996,Västra Götalands län,V,,,,,,,,,
1997,Västra Götalands län,V,,,,,,,,,
1994,Örebro län,V,,,,,S,,,,
1995,Örebro län,V,,,,,S,,,,
1996,Örebro län,V,,,,,S,,,,
1997,Örebro län,V,,,,,S,,,,
1998,Hallands län,B,M,C,L,KD,,,MP,,
1999,Hallands län,B,M,C,L,KD,,,MP,,
2000,Hallands län,B,M,C,L,KD,,,MP,,
2001,Hallands län,B,M,C,L,KD,,,MP,,
1998,Jämtlands län,V,,,,,S,V,MP,,
1999,Jämtlands län,V,,,,,S,V,MP,,
2000,Jämtlands län,V,,,,,S,V,MP,,
2001,Jämtlands län,V,,,,,S,V,MP,,
1998,Blekinge län,V,,,,,S,V,MP,,
1999,Blekinge län,V,,,,,S,V,MP,,
2000,Blekinge län,V,,,,,S,V,MP,,
2001,Blekinge län,V,,,,,S,V,MP,,
1998,Dalarnas län,V,,,,,S,V,,,
1999,Dalarnas län,V,,,,,S,V,,,
2000,Dalarnas län,V,,,,,S,V,,,
2001,Dalarnas län,V,,,,,S,V,,,
1998,Gävleborgs län,V,,,,,S,V,,,
1999,Gävleborgs län,V,,,,,S,V,,,
2000,Gävleborgs län,V,,,,,S,V,,,
2001,Gävleborgs län,V,,,,,S,V,,,
1998,Jönköpings län,BL,,C,,,S,V,,,
1999,Jönköpings län,BL,,C,,,S,V,,,
2000,Jönköpings län,BL,,C,,,S,V,,,
2001,Jönköpings län,BL,,C,,,S,V,,,
1998,Kalmar län,V,,,,,S,V,MP,,
1999,Kalmar län,V,,,,,S,V,MP,,
2000,Kalmar län,V,,,,,S,V,MP,,
2001,Kalmar län,V,,,,,S,V,MP,,
1998,Uppsala län,V,,,,,S,V,MP,,
1999,Uppsala län,V,,,,,S,V,MP,,
2000,Uppsala län,V,,,,,S,V,MP,,
2001,Uppsala län,V,,,,,S,V,MP,,
1998,Värmlands län,V,,,,,S,V,,,
1999,Värmlands län,V,,,,,S,V,,,
2000,Värmlands län,V,,,,,S,V,,,
2001,Värmlands län,V,,,,,S,V,,,
1998,Östergötlands län,V,,,,,S,V,MP,,
1999,Östergötlands län,V,,,,,S,V,MP,,
2000,Östergötlands län,V,,,,,S,V,MP,,
2001,Östergötlands län,V,,,,,S,V,MP,,
1998,Kronobergs län,BL,,C,,,S,,,,
1999,Kronobergs län,BL,,C,,,S,,,,
2000,Kronobergs län,BL,,C,,,S,,,,
2001,Kronobergs län,BL,,C,,,S,,,,
1998,Södermanlands län,V,,,,,S,V,,,
1999,Södermanlands län,V,,,,,S,V,,,
2000,Södermanlands län,V,,,,,S,V,,,
2001,Södermanlands län,V,,,,,S,V,,,
1998,Västernorrlands län,V,,,,,S,V,,,
1999,Västernorrlands län,V,,,,,S,V,,,
2000,Västernorrlands län,V,,,,,S,V,,,
2001,Västernorrlands län,V,,,,,S,V,,,
1998,Västmanlands län,V,,,,,S,V,,,
1999,Västmanlands län,V,,,,,S,V,,,
2000,Västmanlands län,V,,,,,S,V,,,
2001,Västmanlands län,V,,,,,S,V,,,
1998,Norrbottens län,V,,,,,S,V,,,
1999,Norrbottens län,V,,,,,S,V,,,
2000,Norrbottens län,V,,,,,S,V,,,
2001,Norrbottens län,V,,,,,S,V,,,
1998,Skåne län,B,M,C,L,KD,,,,,
1999,Skåne län,B,M,C,L,KD,,,,,
2000,Skåne län,B,M,C,L,KD,,,,,
2001,Skåne län,B,M,C,L,KD,,,,,
1998,Stockholms län,B,M,,L,KD,,,,,
1999,Stockholms län,B,M,,L,KD,,,,,
2000,Stockholms län,B,M,,L,KD,,,,,
2001,Stockholms län,B,M,,L,KD,,,,,
1998,Västerbottens län,V,,,,,S,V,MP,,
1999,Västerbottens län,V,,,,,S,V,MP,,
2000,Västerbottens län,V,,,,,S,V,MP,,
2001,Västerbottens län,V,,,,,S,V,MP,,
1998,Västra Götalands län,V,,C,L,,S,,,,
1999,Västra Götalands län,V,,C,L,,S,,,,
2000,Västra Götalands län,V,,C,L,,S,,,,
2001,Västra Götalands län,V,,C,L,,S,,,,
1998,Örebro län,V,,,,,S,,,,
1999,Örebro län,V,,,,,S,,,,
2000,Örebro län,V,,,,,S,,,,
2001,Örebro län,V,,,,,S,,,,
2002,Hallands län,B,M,C,L,KD,,,MP,,
2003,Hallands län,B,M,C,L,KD,,,MP,,
2004,Hallands län,B,M,C,L,KD,,,MP,,
2005,Hallands län,B,M,C,L,KD,,,MP,,
2002,Jämtlands län,BL,,C,,,S,,,,
2003,Jämtlands län,BL,,C,,,S,,,,
2004,Jämtlands län,BL,,C,,,S,,,,
2005,Jämtlands län,BL,,C,,,S,,,,
2002,Blekinge län,V,,,,,S,V,MP,,
